Ticker,Company,GICS Sector,GICS Sub-Industry,Beta_12M_Daily,Trading_Days_Used
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,0.806,250
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",3.51,250
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,0.655,250
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",3.946,250
SNPS,Synopsys,Information Technology,Application Software,1.611,250
SO,Southern Company,Utilities,Electric Utilities,-0.186,250
SOLV,Solventum,Health Care,Health Care Technology,0.781,250
SPG,Simon Property Group,Real Estate,Retail REITs,0.37,250
SPGI,S&P Global,Financials,Financial Exchanges & Data,0.406,250
SRE,Sempra,Utilities,Multi-Utilities,0.238,250
STE,Steris,Health Care,Health Care Equipment,0.562,250
STLD,Steel Dynamics,Materials,Steel,1.172,250
STT,State Street Corporation,Financials,Asset Management & Custody Banks,1.095,250
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2.327,250
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,0.09,250
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,1.441,250
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,1.566,250
SWKS,Skyworks Solutions,Information Technology,Semiconductors,1.435,250
SYF,Synchrony Financial,Financials,Consumer Finance,1.258,250
SYK,Stryker Corporation,Health Care,Health Care Equipment,0.32,250
SYY,Sysco,Consumer Staples,Food Distributors,0.289,250
T,AT&T,Communication Services,Integrated Telecommunication Services,-0.358,250
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,-0.142,250
TDG,TransDigm Group,Industrials,Aerospace & Defense,0.73,250
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,1.075,250
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,1.016,250
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,1.631,250
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,3.053,250
TFC,Truist Financial,Financials,Diversified Banks,0.769,250
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,0.553,250
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,0.156,250
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,0.596,250
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,0.838,250
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,-0.426,250
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,0.435,250
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1.371,250
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,-0.001,250
TRMB,Trimble Inc.,Information Technology,Application Software,1.296,250
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,1.003,250
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,0.069,250
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,0.413,250
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,2.087,250
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,0.065,250
TT,Trane Technologies,Industrials,Building Products,1.069,250
TTD,Trade Desk (The),Communication Services,Advertising,0.758,250
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,0.718,250
TXN,Texas Instruments,Information Technology,Semiconductors,1.22,250
TXT,Textron,Industrials,Aerospace & Defense,0.739,250
TYL,Tyler Technologies,Information Technology,Application Software,0.16,250
UAL,United Airlines Holdings,Industrials,Passenger Airlines,2.219,250
UBER,Uber,Industrials,Passenger Ground Transportation,0.991,250
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,0.237,250
UHS,Universal Health Services,Health Care,Health Care Facilities,0.353,250
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,0.583,250
UNH,UnitedHealth Group,Health Care,Managed Health Care,0.585,250
UNP,Union Pacific Corporation,Industrials,Rail Transportation,0.351,250
UPS,United Parcel Service,Industrials,Air Freight & Logistics,0.849,250
URI,United Rentals,Industrials,Trading Companies & Distributors,1.09,250
USB,U.S. Bancorp,Financials,Diversified Banks,0.752,250
V,Visa Inc.,Financials,Transaction & Payment Processing Services,0.444,250
VEEV,Veeva Systems,Health Care,Health Care Technology,0.669,250
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,0.031,250
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,-0.154,250
VLTO,Veralto,Industrials,Environmental & Facilities Services,0.411,250
VMC,Vulcan Materials Company,Materials,Construction Materials,0.811,250
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,-0.203,250
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,0.092,250
VRT,Vertiv,Industrials,Electrical Components & Equipment,2.511,250
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,0.613,250
VST,Vistra Corp.,Utilities,Electric Utilities,1.561,250
VTR,Ventas,Real Estate,Health Care REITs,-0.147,250
VTRS,Viatris,Health Care,Pharmaceuticals,0.804,250
VZ,Verizon,Communication Services,Integrated Telecommunication Services,-0.316,250
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,1.051,250
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,0.865,250
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,0.731,250
WDAY,"Workday, Inc.",Information Technology,Application Software,0.368,250
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2.823,250
WEC,WEC Energy Group,Utilities,Electric Utilities,-0.086,250
WELL,Welltower,Real Estate,Health Care REITs,0.01,250
WFC,Wells Fargo,Financials,Diversified Banks,0.786,250
WM,Waste Management,Industrials,Environmental & Facilities Services,-0.283,250
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,0.006,250
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,-0.039,250
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,-0.179,250
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,1.311,250
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,0.717,250
WTW,Willis Towers Watson,Financials,Insurance Brokers,-0.085,250
WY,Weyerhaeuser,Real Estate,Timber REITs,0.336,250
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,0.943,250
XEL,Xcel Energy,Utilities,Multi-Utilities,0.018,250
XOM,ExxonMobil,Energy,Integrated Oil & Gas,-0.388,250
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,0.853,250
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,1.995,250
YUM,Yum! Brands,Consumer Discretionary,Restaurants,0.106,250
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,0.326,250
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,1.727,250
ZTS,Zoetis,Health Care,Pharmaceuticals,0.726,250
